time,workload,config_id
0.51,psd-small,66
1.5,svg-large,66
1.46,svg-medium,66
0.55,svg-small,66
4.18,jpeg-large,67
2.01,jpeg-medium,67
0.42,jpeg-small,67
3.48,png-large,67
0.76,png-medium,67
0.45,png-small,67
40.01,psd-large,67
1.47,psd-medium,67
0.58,psd-small,67
1.63,svg-large,67
1.61,svg-medium,67
0.63,svg-small,67
2.2,jpeg-large,68
1.31,jpeg-medium,68
0.38,jpeg-small,68
1.83,png-large,68
0.55,png-medium,68
0.4,png-small,68
23.94,psd-large,68
1.14,psd-medium,68
0.5,psd-small,68
1.51,svg-large,68
1.47,svg-medium,68
0.58,svg-small,68
2.89,jpeg-large,69
1.72,jpeg-medium,69
0.42,jpeg-small,69
2.33,png-large,69
0.62,png-medium,69
0.45,png-small,69
39.45,psd-large,69
1.27,psd-medium,69
0.54,psd-small,69
1.56,svg-large,69
1.57,svg-medium,69
0.63,svg-small,69
2.2,jpeg-large,70
1.26,jpeg-medium,70
0.42,jpeg-small,70
1.81,png-large,70
0.53,png-medium,70
0.42,png-small,70
24.06,psd-large,70
1.12,psd-medium,70
0.48,psd-small,70
1.43,svg-large,70
1.48,svg-medium,70
0.5,svg-small,70
2.17,jpeg-large,71
1.29,jpeg-medium,71
0.41,jpeg-small,71
1.82,png-large,71
0.54,png-medium,71
0.41,png-small,71
23.98,psd-large,71
1.11,psd-medium,71
0.53,psd-small,71
1.48,svg-large,71
1.5,svg-medium,71
0.52,svg-small,71
2.56,jpeg-large,72
1.45,jpeg-medium,72
0.4,jpeg-small,72
1.99,png-large,72
0.63,png-medium,72
0.43,png-small,72
24.02,psd-large,72
1.18,psd-medium,72
0.53,psd-small,72
1.47,svg-large,72
1.49,svg-medium,72
0.56,svg-small,72
2.63,jpeg-large,73
1.48,jpeg-medium,73
0.43,jpeg-small,73
2.29,png-large,73
0.62,png-medium,73
0.42,png-small,73
24.16,psd-large,73
1.15,psd-medium,73
0.53,psd-small,73
1.48,svg-large,73
1.5,svg-medium,73
0.57,svg-small,73
2.1,jpeg-large,74
1.25,jpeg-medium,74
0.38,jpeg-small,74
1.7,png-large,74
0.54,png-medium,74
0.4,png-small,74
16.25,psd-large,74
1.07,psd-medium,74
0.54,psd-small,74
1.46,svg-large,74
1.45,svg-medium,74
0.56,svg-small,74
2.1,jpeg-large,75
1.29,jpeg-medium,75
0.42,jpeg-small,75
1.73,png-large,75
0.62,png-medium,75
0.42,png-small,75
16.31,psd-large,75
1.07,psd-medium,75
0.52,psd-small,75
1.5,svg-large,75
1.46,svg-medium,75
0.54,svg-small,75
2.68,jpeg-large,76
1.53,jpeg-medium,76
0.4,jpeg-small,76
2.09,png-large,76
0.63,png-medium,76
0.46,png-small,76
24.2,psd-large,76
1.18,psd-medium,76
0.53,psd-small,76
1.5,svg-large,76
1.53,svg-medium,76
0.57,svg-small,76
3.05,jpeg-large,77
1.66,jpeg-medium,77
0.43,jpeg-small,77
2.21,png-large,77
0.66,png-medium,77
0.45,png-small,77
31.75,psd-large,77
1.23,psd-medium,77
0.58,psd-small,77
1.48,svg-large,77
1.5,svg-medium,77
0.65,svg-small,77
3.24,jpeg-large,78
1.77,jpeg-medium,78
0.45,jpeg-small,78
2.32,png-large,78
0.65,png-medium,78
0.48,png-small,78
54.61,psd-large,78
1.29,psd-medium,78
0.55,psd-small,78
1.47,svg-large,78
1.53,svg-medium,78
0.5,svg-small,78
2.66,jpeg-large,79
1.51,jpeg-medium,79
0.43,jpeg-small,79
2.07,png-large,79
0.61,png-medium,79
0.44,png-small,79
39.54,psd-large,79
1.25,psd-medium,79
0.55,psd-small,79
1.46,svg-large,79
1.56,svg-medium,79
0.51,svg-small,79
2.58,jpeg-large,80
1.43,jpeg-medium,80
0.42,jpeg-small,80
1.99,png-large,80
0.63,png-medium,80
0.5,png-small,80
33.8,psd-large,80
1.23,psd-medium,80
0.55,psd-small,80
1.56,svg-large,80
1.59,svg-medium,80
0.51,svg-small,80
2.44,jpeg-large,81
1.49,jpeg-medium,81
0.39,jpeg-small,81
1.95,png-large,81
0.6,png-medium,81
0.43,png-small,81
31.63,psd-large,81
1.22,psd-medium,81
0.58,psd-small,81
1.54,svg-large,81
1.55,svg-medium,81
0.6,svg-small,81
2.99,jpeg-large,82
1.62,jpeg-medium,82
0.41,jpeg-small,82
2.19,png-large,82
0.65,png-medium,82
0.44,png-small,82
31.61,psd-large,82
1.24,psd-medium,82
0.55,psd-small,82
1.49,svg-large,82
1.46,svg-medium,82
0.64,svg-small,82
2.49,jpeg-large,83
1.4,jpeg-medium,83
0.4,jpeg-small,83
1.99,png-large,83
0.61,png-medium,83
0.42,png-small,83
31.66,psd-large,83
1.14,psd-medium,83
0.52,psd-small,83
1.49,svg-large,83
1.55,svg-medium,83
0.49,svg-small,83
1.81,jpeg-large,84
1.14,jpeg-medium,84
0.37,jpeg-small,84
1.61,png-large,84
0.52,png-medium,84
0.41,png-small,84
16.26,psd-large,84
1.05,psd-medium,84
0.47,psd-small,84
1.45,svg-large,84
1.45,svg-medium,84
0.52,svg-small,84
2.47,jpeg-large,85
1.35,jpeg-medium,85
0.46,jpeg-small,85
1.92,png-large,85
0.6,png-medium,85
0.42,png-small,85
31.67,psd-large,85
1.19,psd-medium,85
0.52,psd-small,85
1.47,svg-large,85
1.49,svg-medium,85
0.53,svg-small,85
3.03,jpeg-large,86
1.68,jpeg-medium,86
0.41,jpeg-small,86
2.19,png-large,86
0.68,png-medium,86
0.45,png-small,86
33.83,psd-large,86
1.28,psd-medium,86
0.53,psd-small,86
1.52,svg-large,86
1.54,svg-medium,86
0.59,svg-small,86
3.88,jpeg-large,87
1.98,jpeg-medium,87
0.41,jpeg-small,87
2.68,png-large,87
0.71,png-medium,87
0.45,png-small,87
39.68,psd-large,87
1.37,psd-medium,87
0.59,psd-small,87
1.49,svg-large,87
1.53,svg-medium,87
0.61,svg-small,87
2.66,jpeg-large,88
1.61,jpeg-medium,88
0.42,jpeg-small,88
2.1,png-large,88
0.62,png-medium,88
0.43,png-small,88
39.22,psd-large,88
1.19,psd-medium,88
0.55,psd-small,88
1.47,svg-large,88
1.54,svg-medium,88
0.59,svg-small,88
2.64,jpeg-large,89
1.5,jpeg-medium,89
0.45,jpeg-small,89
2.05,png-large,89
0.63,png-medium,89
0.45,png-small,89
23.97,psd-large,89
1.14,psd-medium,89
0.58,psd-small,89
1.47,svg-large,89
